Region	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WML_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion
HTN3	1	2	1	1	1	3	2	1	2	2	3	2	2	1	1	0	1	2	2	2	1	1	1	1	0	0	1	3	3	4	2	3	3	1	1	4	7	5	3	1	4	5	1	7	12	14	16	4	6	6	27	14	8	12	6	4	8	1	2	0	0	2	3	2	1	4	1	5	3	4	1	1	4	1	5	2	3	4	4	7	6	8	2	1	3	0	5	4	5	7	6
IDS	2	3	1	1	2	2	3	2	6	6	3	1	0	6	4	2	5	3	1	1	4	3	2	0	5	6	1	2	10	7	6	3	3	4	0	5	5	2	3	5	9	6	10	8	19	19	28	33	11	30	21	27	22	31	10	11	8	17	5	2	1	0	1	5	1	3	3	6	2	4	6	6	4	6	28	14	28	13	32	32	35	29	4	18	12	17	29	32	30	18	24
ITGB2	2	1	1	3	4	5	5	5	3	4	2	3	2	6	0	5	8	1	2	0	3	0	2	2	5	2	2	4	14	6	5	4	5	5	2	4	5	1	5	3	14	11	3	6	27	26	19	28	20	8	16	24	14	22	8	8	8	6	4	3	0	2	2	1	1	4	0	4	0	6	3	6	7	4	6	1	7	5	10	9	11	6	1	2	2	4	10	6	4	10	3
SGCG	1	2	1	1	2	4	3	1	5	3	4	1	2	2	0	4	3	1	2	4	1	1	3	0	3	5	2	4	4	6	4	0	6	6	2	6	5	4	7	9	2	13	3	1	14	14	17	6	11	6	13	21	16	27	29	7	5	7	3	1	1	1	0	1	2	3	3	3	6	2	5	5	9	10	4	5	4	1	5	7	14	14	2	4	2	1	5	5	10	4	4
LIPA	0	1	1	1	3	2	3	0	3	1	3	1	2	2	5	7	2	4	2	3	3	3	2	1	5	3	0	2	4	8	7	2	5	2	1	4	2	4	1	1	8	4	6	4	26	12	22	21	16	12	10	9	13	14	13	3	8	7	0	1	1	1	2	0	4	1	3	2	6	0	4	3	8	4	6	1	4	4	6	8	9	2	0	2	0	5	7	5	6	6	3
LYZ	2	2	3	2	4	4	5	3	3	4	0	2	3	4	3	4	4	6	3	3	3	4	0	2	3	5	2	4	10	12	3	1	7	5	3	3	4	2	3	4	8	5	5	7	40	28	32	29	24	12	20	21	29	25	22	6	11	13	4	3	1	1	3	2	5	4	2	3	0	4	11	5	5	9	8	4	8	6	20	19	8	9	3	3	4	3	14	7	11	11	10
MTTP	1	1	1	2	3	4	6	1	3	1	4	3	1	4	2	4	4	2	1	4	0	0	3	2	3	4	1	6	7	12	10	3	2	3	0	5	3	3	2	6	7	6	4	8	24	16	18	14	14	6	17	17	15	30	19	5	9	4	3	2	1	0	1	5	0	3	1	4	5	3	6	4	4	9	9	6	6	4	8	11	10	11	1	4	2	5	7	9	6	5	10
MYO5A	1	0	2	1	0	7	3	2	4	3	2	1	2	3	1	4	4	2	2	2	4	1	1	4	3	5	1	4	2	6	6	2	7	6	3	8	6	4	3	10	5	11	6	10	19	14	15	12	13	7	13	27	16	17	12	7	4	6	1	3	2	1	0	3	4	3	1	2	3	8	3	5	4	10	7	3	20	4	15	10	10	11	2	3	5	4	8	12	10	6	7
NF1	2	3	6	0	2	2	4	1	2	4	4	0	1	2	2	6	5	4	1	2	2	0	2	2	0	2	5	4	7	10	6	5	3	6	3	8	9	7	4	11	13	4	2	7	21	19	23	17	24	9	14	18	26	24	9	7	6	9	3	3	1	3	5	4	2	4	3	2	2	8	7	6	7	10	9	6	7	4	16	7	9	18	2	5	2	3	8	8	10	11	7
OAT	3	2	3	6	3	4	7	1	2	8	4	3	8	2	1	5	4	7	7	4	1	1	6	2	4	7	0	2	5	8	5	6	6	7	1	8	9	10	4	13	9	11	6	8	23	11	30	21	17	12	22	26	22	28	5	5	15	9	5	3	4	6	1	4	2	5	5	7	4	10	8	6	9	10	5	3	10	3	16	25	15	23	2	3	4	6	11	13	12	6	9
