"logFC","logCPM","LR","PValue","FDR","gene","Category"
-0.568572233556829,11.7501456307943,7.45995382085327,0.00630866250515474,0.0202402922040381,"SLC35D2","Unique NAWM vs WM_line_Lesion_1"
-0.480130446649156,11.8075790018756,6.94418030541584,0.00840923620024056,0.024904276439174,"RPL5","Unique NAWM vs WM_line_Lesion_1"
0.451388605735141,12.087392938023,6.75958503559526,0.00932454417052511,0.0269246212923913,"FKBP4","Unique NAWM vs WM_line_Lesion_1"
-0.483063717954903,12.2950626376758,6.73706376092092,0.00944299228700875,0.0269300150407287,"KPNA3","Unique NAWM vs WM_line_Lesion_1"
0.458211749510469,12.9410727987705,6.23572622299005,0.0125198241244761,0.033628829915744,"TMSB4X","Unique NAWM vs WM_line_Lesion_1"
-0.467380992455909,14.7309498107736,6.10217258869367,0.0135015789343414,0.0358490199291135,"PTBP1","Unique NAWM vs WM_line_Lesion_1"
0.450604195701036,12.1080274823622,5.88057043614842,0.0153088611592245,0.0397342351436051,"HSPA8","Unique NAWM vs WM_line_Lesion_1"
0.484048287038806,11.8294448446259,5.75149371203007,0.0164746429242678,0.0422849168389541,"SLC1A3","Unique NAWM vs WM_line_Lesion_1"
0.432384169328647,12.8370058369523,5.6683974090408,0.0172732293290356,0.0433708258152959,"DNAJB1","Unique NAWM vs WM_line_Lesion_1"
0.41843587140694,11.9443623055828,5.64553266967609,0.0174998991210676,0.0434674913652324,"DNAJA1","Unique NAWM vs WM_line_Lesion_1"
-0.449721258594009,12.1459064221518,5.50412105252614,0.018971712816276,0.0466219751123379,"PXN","Unique NAWM vs WM_line_Lesion_1"
-0.439588508147416,13.9937821199758,5.44032768872104,0.0196769775702278,0.0473477272783607,"GFAP","Unique NAWM vs WM_line_Lesion_1"
-1.2170274829129,11.9866758846382,62.8176254618788,2.26760478070837e-15,3.74154788816882e-14,"CTSZ","Unique NAWM vs WM_line_Lesion_2"
-1.13106760587184,12.3318537595469,55.2751883628391,1.0478292580871e-13,1.61365705745414e-12,"CTSB","Unique NAWM vs WM_line_Lesion_2"
-1.13709847746068,12.6215790995815,53.3787094593824,2.75061826533872e-13,3.34417273312233e-12,"APOC1","Unique NAWM vs WM_line_Lesion_2"
1.12382705565482,11.690278520029,49.0170670472158,2.53744995966123e-12,2.79119495562736e-11,"MTURN","Unique NAWM vs WM_line_Lesion_2"
-1.01601626070939,12.1124748666033,46.292275358148,1.01864768528251e-11,9.8044839708442e-11,"GPNMB","Unique NAWM vs WM_line_Lesion_2"
