"Gene","logFC","logCPM","F","PValue","FDR"
"C1QB",-0.877633892762299,12.1024261880678,12.8597038482469,0.000516119777354636,0.00112653066787983
"PCBP1",0.639975180093647,12.1236854166347,13.3445078493067,0.000521489906112047,0.0011274115113089
"FKBP4",-0.710771496611312,12.0977417720029,12.4986534084679,0.000612787920240422,0.00131229111221298
"RPS26",0.685500393029931,11.9504739497851,13.3660812727433,0.000619301679690144,0.00131384561952956
"PCSK1N",1.07752782490667,11.6437581584056,12.3578326660107,0.000655372366510321,0.00137749562220225
"PLOD1",0.741229400735332,12.0054387147712,12.3114529989364,0.00067005439767686,0.00139543438782245
"CTSZ",-1.03544826220972,11.9906256234758,12.0178320445887,0.000771197423524875,0.00158434180682505
"OAZ1",-0.648883064275117,12.4303287772474,13.2174159286557,0.000774722205099472,0.00158434180682505
"CTSD",-0.804789620091324,12.7317592179516,11.9654432127252,0.000790833596297675,0.00160285023535332
"RPS12",-0.737063799844625,11.674794992033,11.701303751629,0.000897968753301539,0.00180388413273849
"CLK1",-0.773931527391726,11.6046977575716,11.6797627482123,0.000907339662879546,0.00180672020590927
"ATP6V0B",0.771802017953492,11.7580387352699,11.3082251248341,0.00108580430329676,0.0021432832769423
"NRGN",1.02226626009179,11.9276313839629,11.2788624482979,0.00110136710200762,0.00215526148410113
"RPSA",0.616494344966429,12.1145773233364,11.2254108237456,0.00113028985526337,0.00219295553115201
"TMEM106C",0.67767936067478,11.9493472649478,11.1357941072223,0.00118054899099989,0.00227105610980488
"ITM2C",0.902299787091404,12.0933420599778,10.9324017045375,0.00130333949250899,0.00248620222520622
"IGHG2",1.19428698306071,13.1402124926344,10.6420694970164,0.00150184169220466,0.00284098386775381
"FBRS",0.73416880662407,11.7483118276669,10.4608355740889,0.00164131542647363,0.00307916199842574
"SERPINH1",0.761665970772328,11.6314590481581,10.1986036608599,0.00186718056526684,0.0034490129594895
"STIP1",-0.635196946962788,12.0141586769419,10.1967913961088,0.00186884843179387,0.0034490129594895
"SPARCL1",0.705639260459967,11.9679231672601,9.87574281443116,0.00231056654679317,0.00422982746872621
"RAP2B",-1.00332434236094,11.7514506141328,9.69896006078555,0.00239063613072192,0.00434139521339102
"IGHG3",1.10802183271664,13.209755431235,9.57836639912457,0.00253832351357227,0.00457301140937227
"CALM2",-0.675574696661244,11.7910891578226,9.43488970701106,0.00272638689025709,0.00487314822116818
"RPS24",-0.54984258385668,12.1006460301554,9.2110068110794,0.00304909969907821,0.00540738774758401
"PTBP1",0.448585618796787,14.7464946855473,9.19268806680741,0.00307719501919745,0.00541490906478932
"RPL27A",-0.72651913145561,11.8668420112752,8.93459803546463,0.00350275007604197,0.00611634051739636
"RPL7",0.45414287013777,12.7093080218352,8.82436953424046,0.00370264024299459,0.0064160254592349
"HSPB1",0.51491136198129,12.3296827178899,8.62466851398304,0.00409540782291612,0.00704286042274211
"SRRM2",-0.565335848191374,11.8093221191485,10.4289376920331,0.00472731762882699,0.008068429336419
"APOE",-0.577231837773355,12.8649441821214,8.26752552247364,0.00490904343681342,0.00831606612057199
"RPL41",-0.602868406724102,12.159140744929,8.23728483386686,0.00498522155849696,0.00838255773169488
"RPS3",-0.607939192538224,11.7868319536013,8.59509428973664,0.00530696669757174,0.00885795176727048
"CKB",0.784903267797695,12.1932795719367,7.72526714652164,0.00647889402422462,0.0107351017773649
"CLDN25",0.60403548359279,11.8295109169819,7.69876270001724,0.00656785361033307,0.0107777776707033
"PPP2R2B",0.618094410848605,11.7834428595699,7.68939195719749,0.00659960835342622,0.0107777776707033
"RPS10",0.524815810346156,11.912933591255,7.59717727904127,0.0069207380601339,0.0112214824260743
"EIF1",-0.607998321036373,11.6331721075755,7.38102142634392,0.007738761473243,0.0124588571235898
"RPS15",-0.509299085882883,11.8993276042214,7.16292024661161,0.00866658393180924,0.0138543278346528
"HLA-DRA",-0.773098159348738,11.4360880230644,7.06905624753974,0.00910085365198772,0.0144468096433651
"UCHL1",0.81859303168605,11.5081213401706,6.69301753061135,0.0110812833120232,0.0174684118877033
"MYH9",0.520937794263231,11.852006526284,6.31458507761653,0.013532800489996,0.0211858324912351
"CD74",-0.495929614607852,12.2673245783609,5.77080409854711,0.0180937450052312,0.0281320555903252
"IGHG4",1.03364326359492,14.1926274017224,5.66739857631727,0.0191301370902891,0.0295410960509906
"CALM1",-0.618990952156845,12.0117647801454,5.57127133200231,0.0201495940005856,0.0309051205279253
"IDS",0.640002300075093,11.6472800563786,5.36115284375051,0.0225821243135978,0.0344036390549443
"RPS27A",-0.467911435612694,11.8556488395927,5.28817275885423,0.0234977908780507,0.0355599901954501
"RPL28",-0.510554038017526,11.6672576756548,5.27467395187881,0.0236714033265815,0.0355854871200927
"CHORDC1",-0.459147498655139,11.5469387986567,5.21456123224901,0.0254434656844062,0.0379978073050014
"RPS2",-0.472288762489212,12.0569331018765,4.80382342074062,0.0306595831405683,0.0454118497409906
"RPS20",-0.375362309216762,12.2482986780002,5.28673759022855,0.0308080390313328,0.0454118497409906
"DNAJB2",-0.471263005085377,11.7991895965698,4.74319704180667,0.0317069267153123,0.0464353055766187
"SKP1",0.525897878387639,11.6251275086642,4.70909473204361,0.0323126654973825,0.0470190709481143
